resource,resource_label,action,action_label,description
workspaces,Omnichannel Workspaces,read,Read,View omnichannel workspaces
workspaces,Omnichannel Workspaces,manage,Manage,Create/edit workspaces & members
channels,Omnichannel Channels,read,Read,View connected channels
channels,Omnichannel Channels,manage,Manage,Connect/disconnect & configure channels
conversations,Conversations,read,Read,View threads & messages
conversations,Conversations,reply,Reply,Send messages
conversations,Conversations,assign,Assign,Assign/reassign threads
wa_templates,WhatsApp Templates,read,Read,View WhatsApp message templates
wa_templates,WhatsApp Templates,manage,Manage,Create/submit/edit/delete WhatsApp templates
api_keys,Workspace API Keys,read,Read,View workspace public-gateway API keys
api_keys,Workspace API Keys,manage,Manage,Mint & revoke workspace API keys
webhooks,Consumer Webhooks,read,Read,View a channel's consumer webhook endpoints & deliveries
webhooks,Consumer Webhooks,manage,Manage,Register/rotate/enable/disable consumer webhook endpoints
contacts,Contacts,read,Read,View a contact's fields tags and lifecycle
contacts,Contacts,manage,Manage,Edit a contact's fields tags and lifecycle
contact_fields,Contact Fields,manage,Manage,Create/edit/delete custom contact fields
contact_tags,Contact Tags,manage,Manage,Create/edit/delete contact tags
segments,Contact Segments,manage,Manage,Create/edit/delete saved contact segments
contacts,Contacts,import,Import,Bulk import contacts via the import wizard
contacts,Contacts,export,Export,Export contacts to CSV
close_reasons,Close Reasons,manage,Manage,Create/edit/delete/deactivate conversation close reasons
inbox_views,Saved Inbox Views,manage,Manage,Create/edit/delete shared inbox views (own views need only conversations.read)
conversations,Conversations,shortcut,Run shortcut,Run a Shortcut workflow from a conversation
broadcasts,Broadcasts,read,Read,View WhatsApp broadcast campaigns and their recipients
broadcasts,Broadcasts,manage,Manage,Create/edit/duplicate/delete broadcast campaigns
broadcasts,Broadcasts,send,Send,Send/schedule/cancel/test-send a broadcast campaign
omnichannel_migration,Data Migration,read,Read,View respond.io migration jobs and their reports
omnichannel_migration,Data Migration,manage,Manage,Connect respond.io and run migration preflights/dry runs/migrations
